Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
53,MIN,2017-10-09,0,2,9,69,8,55,2,0,40.0,25.0,Mon,5,5,@,CHI,W 20-17,17,5,10,2,15,6,40.0,0,0,,274,2,9,69,8,55,17,124,2,1,1,0,0,1,300,67,4.48,56,4.89,0,31:24,3:10,16,5,7,4,12,3,25.0,1,1,100.0,2,2,2,2,2,0,0,0
54,MIN,2017-10-15,2,3,7,65,8,92,3,1,33.3,23.5,Sun,6,6,,GNB,W 23-10,24,7,13,4,12,4,33.3,1,0,0.0,227,3,7,65,8,92,15,157,1,1,1,1,1,0,351,70,5.01,65,3.49,2,32:09,3:16,14,2,11,1,17,4,23.5,3,2,66.7,2,2,2,3,3,0,0,0
55,MIN,2017-10-22,1,0,4,47,3,15,6,3,46.7,37.5,Sun,7,7,,BAL,W 24-16,17,5,11,1,15,7,46.7,0,0,,208,0,4,47,3,15,7,62,1,1,1,3,3,0,357,64,5.58,64,3.25,1,32:01,2:48,16,4,10,2,16,6,37.5,1,1,100.0,1,1,0,6,6,0,0,0
56,MIN,2017-10-29,1,2,5,58,5,74,4,1,37.5,30.8,Sun,8,8,@,CLE,W 33-16,26,5,16,5,16,6,37.5,0,0,,276,2,5,58,5,74,10,132,2,2,1,2,1,0,375,78,4.81,59,4.68,1,37:52,3:08,16,5,9,2,13,4,30.8,1,0,0.0,3,2,1,4,4,1,1,0
57,MIN,2017-11-12,2,1,3,40,2,15,1,3,66.7,35.7,Sun,9,10,@,WAS,W 38-30,21,6,15,0,12,8,66.7,0,0,,394,1,3,40,2,15,5,55,3,3,3,3,3,0,406,60,6.77,73,5.40,2,28:54,3:10,24,7,16,1,14,5,35.7,5,3,60.0,5,5,5,1,1,0,0,0
58,MIN,2017-11-19,0,1,7,65,8,60,1,0,50.0,27.3,Sun,10,11,,LAR,W 24-7,27,9,15,3,14,7,50.0,1,1,100.0,254,1,7,65,8,60,15,125,1,1,1,0,0,0,451,73,6.18,56,4.54,0,37:22,3:06,15,1,12,2,11,3,27.3,1,0,0.0,3,3,3,3,1,0,0,0
59,MIN,2017-11-23,0,2,9,74,8,54,1,3,46.2,27.3,Thu,11,12,@,DET,W 30-23,28,11,14,3,13,6,46.2,0,0,,289,2,9,74,8,54,17,128,2,2,2,3,3,0,408,73,5.59,53,5.45,0,34:57,3:29,17,1,12,4,11,3,27.3,1,0,0.0,4,4,3,2,1,0,0,0
60,MIN,2017-12-03,0,0,6,51,7,55,0,3,50.0,10.0,Sun,12,13,@,ATL,W 14-9,22,6,15,1,12,6,50.0,0,0,,275,0,6,51,7,55,13,106,0,0,0,4,3,0,312,63,4.95,51,5.39,0,34:02,2:44,15,5,8,2,10,1,10.0,1,1,100.0,2,2,2,0,0,0,0,0
61,MIN,2017-12-10,3,1,2,30,6,48,3,1,46.7,33.3,Sun,13,14,@,CAR,L 24-31,21,5,14,2,15,7,46.7,1,0,0.0,345,1,2,30,6,48,8,78,4,4,4,1,1,0,356,71,5.01,63,5.48,3,28:42,3:06,15,6,7,2,15,5,33.3,0,0,,2,1,1,4,3,1,1,0
62,MIN,2017-12-17,1,2,11,93,5,44,2,0,33.3,7.7,Sun,14,15,,CIN,W 34-7,18,7,8,3,12,4,33.3,0,0,,161,2,11,93,5,44,16,137,1,1,1,0,0,0,346,61,5.67,51,3.16,1,35:52,3:01,8,2,4,2,13,1,7.7,3,1,33.3,4,4,4,2,2,0,0,0
63,MIN,2017-12-23,0,2,2,10,6,79,3,0,26.7,26.7,Sat,15,16,@,GNB,W 16-0,15,5,9,1,15,4,26.7,0,0,,239,2,2,10,6,79,8,89,0,0,0,0,0,0,236,61,3.87,65,3.68,0,31:37,2:58,12,5,6,1,15,4,26.7,4,0,0.0,1,1,1,3,3,0,0,0
64,MIN,2017-12-31,0,0,12,103,10,116,0,1,38.5,8.3,Sun,16,17,,CHI,W 23-10,21,8,9,4,13,5,38.5,0,0,,201,0,12,103,10,116,22,219,1,1,1,1,1,0,327,67,4.88,53,3.79,0,35:55,3:05,12,2,7,3,12,1,8.3,2,0,0.0,3,3,3,1,0,0,0,1
