Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
130,JAX,2022-09-11,260,1,123,1,1,305,85,26:27,Sun,1,1,@,WAS,L 22-28,24,42,18,57.1,1,1,2.4,2.4,75.0,2,15,4.55,6.2,5.91,5.6,5.34,10.8,28,3.0,0,27,41,65.9,4,1,8,2,100.2,18,383,62,6.18,70,5.57,1,3:19
131,JAX,2022-09-18,235,2,96,1,0,164,54,38:15,Sun,2,2,,IND,W 24-0,25,30,5,83.3,2,0,6.7,0.0,121.5,0,0,0.0,7.8,7.83,9.17,9.17,9.4,13,4.2,0,16,30,53.3,0,5,31,3,29.7,37,331,67,4.94,48,4.54,0,2:45
132,JAX,2022-09-25,262,3,151,1,0,286,26,38:27,Sun,3,3,@,LAC,W 38-10,28,39,11,71.8,3,0,7.7,0.0,115.5,0,0,0.0,6.7,6.72,8.26,8.26,9.4,12,2.2,0,25,45,55.6,1,1,11,1,73.0,36,413,75,5.51,58,5.38,0,2:59
133,JAX,2022-10-02,148,2,71,0,5,191,210,20:09,Sun,4,4,@,PHI,L 21-29,11,23,12,47.8,2,1,8.7,4.3,84.3,4,26,14.81,6.4,5.48,6.22,5.3,13.5,50,4.2,4,16,25,64.0,0,2,13,1,70.6,19,219,46,4.76,77,5.21,5,2:56
134,JAX,2022-10-09,286,0,136,0,2,132,116,28:13,Sun,5,5,,HOU,L 6-13,25,47,22,53.2,0,2,0.0,4.3,54.0,0,0,0.0,6.1,6.09,4.17,4.17,11.4,31,3.7,1,16,24,66.7,0,1,8,0,80.6,26,422,73,5.78,56,4.43,2,2:58
135,JAX,2022-10-16,136,1,243,3,1,389,45,31:11,Sun,6,6,@,IND,L 27-34,20,22,2,90.9,1,0,4.5,0.0,113.1,4,29,15.38,6.2,5.23,7.09,6.0,6.8,16,2.8,1,42,58,72.4,3,0,0,0,107.6,33,379,59,6.42,74,5.86,1,3:04
136,JAX,2022-10-23,310,0,142,2,1,200,236,25:50,Sun,7,7,,NYG,L 17-23,22,44,22,50.0,0,0,0.0,0.0,73.1,0,0,0.0,7.0,7.05,7.05,7.05,14.1,39,6.1,1,19,30,63.3,1,1,2,0,93.7,21,452,65,6.95,70,6.23,1,3:29
137,JAX,2022-10-30,114,1,191,1,2,230,101,34:04,Sun,8,8,,DEN,L 17-21,18,31,13,58.1,1,2,3.2,6.5,52.2,2,19,6.06,3.7,3.45,1.42,1.33,6.3,28,3.6,2,18,30,60.0,1,3,22,1,81.3,32,305,65,4.69,61,5.43,2,2:58
138,JAX,2022-11-06,235,1,168,2,1,248,73,32:25,Sun,9,9,,LVR,W 27-20,25,31,6,80.6,1,0,3.2,0.0,109.0,0,0,0.0,7.6,7.58,8.23,8.23,9.4,19,3.8,0,21,36,58.3,2,2,11,0,97.9,37,403,68,5.93,57,5.63,1,3:07
139,JAX,2022-11-13,240,2,75,0,0,331,155,31:39,Sun,10,10,@,KAN,L 17-27,29,40,11,72.5,2,0,5.0,0.0,106.1,5,19,11.11,6.0,5.33,7.0,6.22,8.3,27,5.7,0,26,35,74.3,4,0,0,1,129.6,16,315,61,5.16,62,7.84,0,2:58
140,JAX,2022-11-27,294,3,38,0,1,253,162,27:21,Sun,11,12,,BAL,W 28-27,29,37,8,78.4,3,0,8.1,0.0,129.8,4,27,9.76,7.9,7.17,9.57,8.63,10.1,35,4.6,1,16,32,50.0,1,1,1,0,87.1,20,332,61,5.44,68,6.1,1,3:15
141,JAX,2022-12-04,171,1,95,0,1,337,100,23:10,Sun,12,13,@,DET,L 14-40,19,34,15,55.9,1,0,2.9,0.0,81.1,2,14,5.56,5.0,4.75,5.62,5.31,9.0,31,3.2,2,31,41,75.6,2,2,3,0,115.6,19,266,55,4.84,74,5.91,1,2:54
