Game Order,Team,Date,Passing Yards,Passings TD,Rushing Yards,Rushing TD,Turnovers,Opponent Passing Yards,Opponent Rushing Yards,Time of Possession,Day of Week,Game Number,Week,Home/Away,Opponent,Result,Passing Completions,Passing Attempts,Passing Incompletions,Passing Completion Percentage,Passing TD,Interceptions,TD Percentage per Pass,Interception Percentage per Pass,Passer Rating,Times Sacked,Sack Yards,Sack Percentage,Yards per Attempt,Net Yards per Attempt,Adjusted Yards per Attempt,Adjusted Net Yards per Attempt,Yards per Completion,Opponent Rushing Attempts,Opponent Rushing Yards per Attempt,Opponent Rushing TD,Opponent Pass Completions,Opponent Pass Attempts,Opponent Completion Percentage,Opponent Passing TD,Opponent Times Sacked,Opponent Sack Yards,Opponent Interceptions,Opponent Passer Rating,Rushing Attempts,Total Yardage,Offense Number of Plays,Yards per Offensive Play,Defense Number of Plays,Yards Allowed per Defensive Play,Turnovers Lost,Total Time
48,PIT,2017-01-01,243,3,69,1,1,206,231,33:09,Sun,16,17,,CLE,W 27-24 (OT),24,37,13,64.9,3,1,8.1,2.7,103.1,4,34,9.76,6.6,5.93,6.97,6.29,10.1,33,7.0,1,29,40,72.5,2,4,26,1,90.2,28,312,69,4.52,77,5.68,1,3:26
49,PIT,2017-09-10,255,2,35,0,1,180,57,28:50,Sun,1,1,@,CLE,W 21-18,24,36,12,66.7,2,1,5.6,2.8,95.0,1,8,2.7,7.1,6.89,6.94,6.76,10.6,25,2.3,1,20,30,66.7,1,7,42,1,79.9,17,290,54,5.37,62,3.82,1,2:59
50,PIT,2017-09-17,233,2,102,0,0,146,91,34:22,Sun,2,2,,MIN,W 26-9,23,35,12,65.7,2,0,5.7,0.0,104.8,2,10,5.41,6.7,6.3,7.8,7.38,10.1,20,4.6,1,20,38,52.6,0,2,21,0,62.0,32,335,69,4.86,60,3.95,0,3:11
51,PIT,2017-09-24,212,1,70,1,2,84,222,27:34,Sun,3,3,@,CHI,L 17-23 (OT),22,39,17,56.4,1,0,2.6,0.0,82.7,3,23,7.14,5.4,5.05,5.95,5.52,9.6,38,5.8,2,15,22,68.2,1,2,17,1,71.0,17,282,59,4.78,62,4.94,2,3:21
52,PIT,2017-10-01,208,1,173,2,1,206,82,35:29,Sun,4,4,@,BAL,W 26-9,18,30,12,60.0,1,1,3.3,3.3,79.3,1,8,3.23,6.9,6.71,6.1,5.9,11.6,15,5.5,0,31,49,63.3,1,4,29,2,62.1,42,381,73,5.22,68,4.24,1,3:16
53,PIT,2017-10-08,301,0,70,0,5,82,231,31:08,Sun,5,5,,JAX,L 9-30,33,55,22,60.0,0,5,0.0,9.1,37.8,2,11,3.51,5.5,5.28,1.38,1.33,9.1,37,6.2,2,8,14,57.1,0,2,13,1,44.3,20,371,77,4.82,53,5.91,5,3:01
54,PIT,2017-10-15,245,1,194,1,1,223,28,36:39,Sun,6,6,@,KAN,W 19-13,17,25,8,68.0,1,1,4.0,4.0,97.4,1,7,3.85,9.8,9.42,8.8,8.46,14.4,15,1.9,0,19,34,55.9,1,3,23,0,85.8,37,439,63,6.97,52,4.83,1,2:54
55,PIT,2017-10-22,268,2,152,0,0,108,71,35:15,Sun,7,7,,CIN,W 29-14,15,25,10,60.0,2,0,8.0,0.0,123.4,0,0,0.0,10.7,10.72,12.32,12.32,17.9,17,4.2,0,17,30,56.7,2,4,32,2,58.7,43,420,68,6.18,51,3.51,0,3:03
56,PIT,2017-10-29,317,1,75,1,2,411,71,28:23,Sun,8,8,@,DET,W 20-15,17,31,14,54.8,1,1,3.2,3.2,87.7,0,0,0.0,10.2,10.23,9.42,9.42,18.6,22,3.2,0,27,45,60.0,0,2,12,0,90.1,29,392,60,6.53,69,6.99,2,3:02
57,PIT,2017-11-12,228,2,88,0,1,196,71,29:58,Sun,9,10,@,IND,W 20-17,19,31,12,61.3,2,1,6.5,3.2,92.9,1,8,3.13,7.4,7.13,7.19,6.97,12.0,29,2.4,0,14,24,58.3,2,3,26,1,95.1,30,316,62,5.1,56,4.77,1,3:06
58,PIT,2017-11-16,284,4,65,0,0,264,52,31:40,Thu,10,11,,TEN,W 40-17,30,45,15,66.7,4,0,8.9,0.0,115.0,3,15,6.25,6.3,5.92,8.09,7.58,9.5,21,2.5,1,22,34,64.7,1,5,42,4,58.6,21,349,69,5.06,60,5.27,0,3:17
