Game Order,Team,Date,Turnovers,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Field Goals Made,Opponent Field Goals Made,3rd Down %,Oppoenent 3rd Down %,Day of Week,Game Number,Week,Home/Away,Opponent,Result,1st Downs,1st Downs by Rush,1st Downs by Pass,1st Downs by Pen,3rd Down Attempts,3rd Down Conversions,3rd Down Conversion %,4th Down Attempts,4th Down Conversions,4th Down Conversion %,Opponent Total Yards,Opponent Turnovers,Penalties,Penalty Yards,Opponent Penalties,Opponent Penalty Yards,Combined Penalties,Combined Penalty Yards,Opponent TD,Opponent XPA,Opponent XPM,Opponent Field Goals Attempted,Opponent Field Goals Made,Opponent Safeties,Total Yards,Offensive Plays,Yards per Play,Defensive Plays,Defensive Yards per Play,Turnovers,Time of Possession,Time,Opponent 1st Downs,Opponent 1st Downs by Rush,Opponent 1st Downs by Pass,Opponent 1st Downs by Penalty,Opponent 3rd Down Attempts,Opponent 3rd Down Conversions,Opponent 3rd Down Conversion %,Opponent 4th Down Attempts,Opponent 4th Down Conversions,Opponent 4th Down Conversion %,Total TD,XPA,XPM,Field Goals Attempted,Field Goals Made,2PA,2PM,Safeties
50,SFO,2017-09-17,1,0,6,66,9,71,3,2,16.7,42.1,Sun,2,2,@,SEA,L 9-12,11,5,4,2,12,2,16.7,0,0,,312,0,6,66,9,71,15,137,1,1,0,2,2,0,248,48,5.17,79,3.95,1,23:02,3:00,21,9,10,2,19,8,42.1,1,1,100.0,0,0,0,3,3,0,0,0
51,SFO,2017-09-21,2,2,10,55,7,52,2,2,50.0,66.7,Thu,3,3,,LAR,L 39-41,25,7,15,3,18,9,50.0,3,2,66.7,418,2,10,55,7,52,17,107,5,5,5,2,2,0,421,74,5.69,60,6.97,2,30:17,3:24,26,7,14,5,12,8,66.7,0,0,,5,4,3,2,2,1,0,0
52,SFO,2017-10-01,1,1,13,113,10,80,5,4,26.3,31.3,Sun,4,4,@,ARI,L 15-18 (OT),20,6,13,1,19,5,26.3,1,1,100.0,368,1,13,113,10,80,23,193,1,0,0,4,4,0,305,79,3.86,79,4.66,1,33:13,3:40,25,5,17,3,16,5,31.3,0,0,,0,0,0,5,5,0,0,0
53,SFO,2017-10-08,0,1,10,77,7,62,3,4,28.6,50.0,Sun,5,5,@,IND,L 23-26 (OT),23,3,19,1,14,4,28.6,2,2,100.0,447,1,10,77,7,62,17,139,2,2,2,4,4,0,402,70,5.74,73,6.12,0,31:05,3:32,25,9,14,2,16,8,50.0,0,0,,2,2,2,3,3,0,0,0
54,SFO,2017-10-15,1,2,7,40,5,43,1,2,35.3,50.0,Sun,6,6,@,WAS,L 24-26,21,7,12,2,17,6,35.3,2,1,50.0,419,2,7,40,5,43,12,83,3,3,2,2,2,0,335,70,4.79,71,5.90,1,23:08,3:28,25,6,17,2,14,7,50.0,0,0,,3,3,3,2,1,0,0,0
55,SFO,2017-10-22,3,0,2,22,5,36,1,0,46.2,63.6,Sun,7,7,,DAL,L 10-40,23,9,12,2,13,6,46.2,2,0,0.0,501,0,2,22,5,36,7,58,6,5,4,0,0,0,290,65,4.46,70,7.16,3,27:10,2:59,27,14,12,1,11,7,63.6,1,0,0.0,1,1,1,1,1,0,0,0
56,SFO,2017-10-29,2,1,6,69,4,35,1,2,20.0,28.6,Sun,8,8,@,PHI,L 10-33,14,4,9,1,15,3,20.0,0,0,,304,1,6,69,4,35,10,104,4,3,1,2,2,0,238,64,3.72,66,4.61,2,27:03,3:04,19,7,9,3,14,4,28.6,1,1,100.0,1,1,1,2,1,0,0,0
57,SFO,2017-11-05,2,2,8,53,2,25,1,2,35.3,43.8,Sun,9,9,,ARI,L 10-20,17,3,13,1,17,6,35.3,2,0,0.0,368,2,8,53,2,25,10,78,2,2,2,3,2,0,329,73,4.51,73,5.04,2,23:38,3:22,20,6,11,3,16,7,43.8,0,0,,1,1,1,1,1,0,0,0
58,SFO,2017-11-12,2,1,6,44,4,35,1,2,66.7,35.7,Sun,10,10,,NYG,W 31-21,21,8,12,1,12,8,66.7,1,0,0.0,374,1,6,44,4,35,10,79,2,1,1,3,2,0,474,58,8.17,63,5.94,2,29:00,2:57,19,5,14,0,14,5,35.7,3,3,100.0,4,4,4,1,1,0,0,0
59,SFO,2017-11-26,1,1,7,74,6,35,2,1,31.3,38.5,Sun,11,12,,SEA,L 13-24,16,5,11,0,16,5,31.3,1,1,100.0,318,1,7,74,6,35,13,109,3,3,3,2,1,0,280,67,4.18,64,4.97,1,30:29,3:09,20,5,13,2,13,5,38.5,0,0,,1,1,1,2,2,0,0,0
60,SFO,2017-12-03,1,0,8,53,4,29,5,0,55.6,50.0,Sun,12,13,@,CHI,W 15-14,23,6,16,1,18,10,55.6,0,0,,147,0,8,53,4,29,12,82,2,2,2,0,0,0,388,73,5.32,36,4.08,1,38:47,2:52,8,2,6,0,10,5,50.0,0,0,,0,0,0,5,5,0,0,0
61,SFO,2017-12-10,1,1,11,87,8,81,4,1,18.2,23.1,Sun,13,14,@,HOU,W 26-16,20,4,12,4,11,2,18.2,0,0,,311,1,11,87,8,81,19,168,2,2,1,2,1,0,416,66,6.30,64,4.86,1,34:49,3:19,18,4,12,2,13,3,23.1,2,1,50.0,2,2,2,4,4,0,0,0
62,SFO,2017-12-17,0,1,7,70,3,22,6,3,50.0,50.0,Sun,14,15,,TEN,W 25-23,23,2,20,1,14,7,50.0,0,0,,328,1,7,70,3,22,10,92,2,2,2,3,3,0,414,68,6.09,62,5.29,0,32:35,3:07,23,7,14,2,12,6,50.0,1,1,100.0,1,1,1,6,6,0,0,0
63,SFO,2017-12-24,1,3,8,68,12,99,1,1,66.7,38.5,Sun,15,16,,JAX,W 44-33,26,7,15,4,15,10,66.7,0,0,,472,3,8,68,12,99,20,167,4,3,2,1,1,0,369,66,5.59,79,5.97,1,29:11,3:27,32,7,20,5,13,5,38.5,2,2,100.0,6,6,5,1,1,0,0,0
64,SFO,2017-12-31,3,2,4,23,6,46,2,2,50.0,33.3,Sun,16,17,@,LAR,W 34-13,25,10,13,2,12,6,50.0,0,0,,251,2,4,23,6,46,10,69,1,1,1,2,2,0,461,63,7.32,63,3.98,3,29:09,2:59,15,6,7,2,15,5,33.3,1,1,100.0,4,4,4,2,2,0,0,0
