,,,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,,,,,,,,,,,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,Tot. Off.,Tot. Off.,Penalties,Penalties,Penalties,Penalties,Penalties,Penalties,,Kicking,Kicking,Kicking,Kicking,,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,Tot. Off.,First Downs,First Downs,First Downs,First Downs,Downs,Downs,Downs,Downs,Downs,Downs,,PAT,PAT,FG,FG,,,
Rk,Team,Date,TO,TO,Pen,Yds,OppPen,OppYds,FGM,Md,3D%,Opp3D%,Day,G#,Week,,Opp,Result,1stD,Rsh,Pass,Pen,3DAtt,3DConv,3D%,4DAtt,4DConv,4D%,Tot,TO,Pen,Yds,OppPen,OppYds,CombPen,CombPenYds,TD,XPA,XPM,Att,Md,Sfty,Tot,Ply,Y/P,DPly,DY/P,TO,ToP,Time,1stDOpp,Rush,Pass,Pen,Opp3DAtt,Opp3DConv,Opp3D%,Opp4DAtt,Opp4DConv,Opp4D%,TD,XPA,XPM,FGA,FGM,2PA,2PM,Sfty
46,BAL,2016-12-18,2,1,7,62,3,30,2,4,36.4,44.4,Sun,14,15,,PHI,W 27-26,18,4,12,2,11,4,36.4,0,0,,328,1,7,62,3,30,10,92,2,0,0,4,4,0,340,57,5.96,81,4.05,2,23:22,3:09,27,13,10,4,18,8,44.4,3,1,33.3,3,3,3,2,2,0,0,0
47,BAL,2016-12-25,1,2,7,95,4,45,4,1,52.9,42.9,Sun,15,16,@,PIT,L 27-31,22,9,11,2,17,9,52.9,1,0,0.0,406,2,7,95,4,45,11,140,4,4,4,1,1,0,368,72,5.11,55,7.38,1,34:37,3:04,23,9,12,2,7,3,42.9,0,0,,2,1,1,4,4,1,1,0
48,BAL,2017-01-01,2,0,4,41,2,20,1,2,50.0,12.5,Sun,16,17,@,CIN,L 10-27,22,7,14,1,16,8,50.0,3,1,33.3,371,0,4,41,2,20,6,61,3,3,3,2,2,0,335,70,4.79,67,5.54,2,29:18,2:50,25,10,13,2,8,1,12.5,0,0,,1,1,1,1,1,0,0,0
49,BAL,2017-09-10,1,5,11,85,9,66,2,0,42.9,30.8,Sun,1,1,@,CIN,W 20-0,17,8,5,4,14,6,42.9,0,0,,221,5,11,85,9,66,20,151,0,0,0,0,0,0,268,60,4.47,58,3.81,1,34:00,2:57,14,3,8,3,13,4,30.8,1,0,0.0,2,2,2,2,2,0,0,0
50,BAL,2017-09-17,2,5,7,45,11,65,1,1,36.4,16.7,Sun,2,2,,CLE,W 24-10,24,7,16,1,11,4,36.4,0,0,,386,5,7,45,11,65,18,110,1,1,1,1,1,0,337,68,4.96,66,5.85,2,33:24,3:17,20,6,12,2,12,2,16.7,2,1,50.0,3,3,3,2,1,0,0,0
51,BAL,2017-09-24,3,0,10,88,9,70,0,3,27.3,25.0,Sun,3,3,@,JAX,L 7-44,12,6,4,2,11,3,27.3,1,0,0.0,410,0,10,88,9,70,19,158,5,5,5,3,3,0,186,54,3.44,68,6.03,3,25:57,2:49,24,7,13,4,12,3,25.0,2,2,100.0,1,1,1,0,0,0,0,0
52,BAL,2017-10-01,3,1,6,55,8,60,1,2,38.5,46.7,Sun,4,4,,PIT,L 9-26,18,4,14,0,13,5,38.5,2,0,0.0,381,1,6,55,8,60,14,115,3,2,2,3,2,0,288,68,4.24,73,5.22,3,24:31,3:16,22,10,10,2,15,7,46.7,0,0,,1,0,0,2,1,1,0,0
53,BAL,2017-10-08,0,1,1,5,3,24,3,1,50.0,50.0,Sun,5,5,@,OAK,W 30-17,19,11,8,0,14,7,50.0,0,0,,245,1,1,5,3,24,4,29,2,2,2,1,1,0,365,65,5.62,54,4.54,0,33:43,2:51,15,7,8,0,12,6,50.0,1,0,0.0,3,3,3,3,3,0,0,0
54,BAL,2017-10-15,3,2,8,69,5,44,3,2,16.7,29.4,Sun,6,6,,CHI,L 24-27 (OT),16,5,9,2,18,3,16.7,1,1,100.0,342,2,8,69,5,44,13,113,3,3,3,2,2,0,291,70,4.16,75,4.56,3,31:09,3:26,18,10,5,3,17,5,29.4,0,0,,2,1,1,3,3,1,1,0
55,BAL,2017-10-22,0,1,3,15,4,47,3,6,37.5,46.7,Sun,7,7,@,MIN,L 16-24,16,4,10,2,16,6,37.5,1,1,100.0,357,1,3,15,4,47,7,62,1,1,0,6,6,0,208,64,3.25,64,5.58,0,27:59,2:48,17,5,11,1,15,7,46.7,0,0,,1,1,1,3,3,0,0,0
56,BAL,2017-10-26,0,2,5,40,7,43,2,0,23.1,26.7,Thu,8,8,,MIA,W 40-0,19,9,7,3,13,3,23.1,0,0,,196,2,5,40,7,43,12,83,0,0,0,1,0,0,295,62,4.76,66,2.97,0,31:14,3:09,13,3,9,1,15,4,26.7,2,0,0.0,4,4,4,3,2,1,0,0
57,BAL,2017-11-05,2,1,6,39,3,39,2,1,37.5,27.3,Sun,9,9,@,TEN,L 20-23,24,4,19,1,16,6,37.5,4,3,75.0,257,1,6,39,3,39,9,78,3,3,2,1,1,0,341,77,4.43,52,4.94,2,32:22,3:07,14,3,10,1,11,3,27.3,0,0,,2,2,2,2,2,0,0,0
58,BAL,2017-11-19,1,5,3,30,5,53,3,0,21.4,30.8,Sun,10,11,@,GNB,W 23-0,14,4,7,3,14,3,21.4,1,1,100.0,265,5,3,30,5,53,8,83,0,0,0,0,0,0,219,57,3.84,67,3.96,1,30:03,3:01,16,5,11,0,13,4,30.8,4,1,25.0,2,2,2,3,3,0,0,0
59,BAL,2017-11-27,0,3,7,89,6,36,3,3,21.4,42.9,Mon,11,12,,HOU,W 23-16,17,7,7,3,14,3,21.4,2,2,100.0,303,3,7,89,6,36,13,125,1,1,1,3,3,0,294,65,4.52,64,4.73,0,29:44,3:06,20,4,11,5,14,6,42.9,0,0,,2,2,2,3,3,0,0,0
60,BAL,2017-12-03,0,3,2,25,6,45,3,0,41.7,30.8,Sun,12,13,,DET,W 44-20,24,8,13,3,12,5,41.7,0,0,,372,3,2,25,6,45,8,70,3,3,2,1,0,0,370,63,5.87,61,6.10,0,29:51,3:05,18,3,14,1,13,4,30.8,0,0,,5,5,5,3,3,0,0,0
61,BAL,2017-12-10,1,0,5,35,6,101,1,4,40.0,66.7,Sun,13,14,@,PIT,L 38-39,26,9,13,4,10,4,40.0,0,0,,545,0,5,35,6,101,11,136,4,3,3,4,4,0,413,62,6.66,85,6.41,1,26:10,3:29,31,6,23,2,18,12,66.7,0,0,,5,5,5,1,1,0,0,0
62,BAL,2017-12-17,0,4,7,57,6,35,2,1,43.8,35.7,Sun,14,15,@,CLE,W 27-10,23,10,12,1,16,7,43.8,1,0,0.0,266,4,7,57,6,35,13,92,1,1,1,1,1,0,376,74,5.08,58,4.59,0,36:48,3:06,15,5,8,2,14,5,35.7,1,0,0.0,3,3,3,2,2,0,0,0
63,BAL,2017-12-23,0,0,5,25,2,19,3,3,42.9,38.5,Sat,15,16,,IND,W 23-16,23,8,13,2,14,6,42.9,1,1,100.0,296,0,5,25,2,19,7,44,1,1,1,5,3,0,323,71,4.55,59,5.02,0,35:48,2:56,17,5,12,0,13,5,38.5,2,1,50.0,2,2,2,3,3,0,0,0
64,BAL,2017-12-31,1,1,5,47,6,60,2,1,29.4,33.3,Sun,16,17,,CIN,L 27-31,19,7,11,1,17,5,29.4,2,1,50.0,359,1,5,47,6,60,11,107,4,4,4,1,1,0,312,74,4.22,75,4.79,1,31:21,3:33,22,5,14,3,15,5,33.3,1,1,100.0,3,3,3,2,2,0,0,0
